#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(95.31492476031816+20.90916911035455j)	(121.14340140636367+14.13998725200909j)	(95.19437616524547+21.45634061641818j)	(64.89938077057273+23.906452178954552j)	
(87.14051402703633+3.6607967723500003j)	(121.30658860645454+9.122183713048184j)	(86.85456778783636+3.949051098386363j)	(57.89201909846365-0.2958911874075455j)	
(48.608192443827264-0.7107426795095455j)	(65.70000596478181+13.221051562945451j)	(48.48527110708182-0.6242502765225455j)	(33.49122238163636-9.322244297374548j)	
(52.07800015535455+16.406011928209093j)	(56.91033276646365+34.818778991663635j)	(51.92348965733636+16.496475393154547j)	(44.7563379461091-2.462347030638182j)	
(63.70699449021819+28.49588064714546j)	(59.4312362670909+44.40178056196364j)	(63.44449650161818+28.473514730299993j)	(70.23264798248181+4.628891641442727j)	
(41.57492481579093+12.462034225454545j)	(35.22015450214546+18.788476077036364j)	(41.42863429678182+12.299449400500002j)	(53.45473965729089+0.5487124811519092j)	
(26.703247590472724+2.482772068544546j)	(21.332237243609093+3.2968576171145454j)	(26.701465086509092+2.334949645125454j)	(38.126960754418185+0.5999105897814545j)	
(35.85741320523636-3.9585554599781814j)	(28.126926248699995-5.913445039224546j)	(35.969746329554546-4.1041784286490905j)	(51.16330337525455+0.6024195497689093j)	
(51.77701013738182-20.89449067552727j)	(38.05832394687272-28.223734942345448j)	(51.94638338959089-20.999117764527274j)	(71.30053710932728-6.076370976185452j)	
(38.37074279782727-15.526703921245456j)	(29.225784648581826-25.769514950818188j)	(38.44395828246363-15.576420523927272j)	(44.48222385752728+0.5469949082896363j)	
(38.2289754693909-4.576614726675453j)	(35.89597944780908-16.291507374154545j)	(38.354568134681806-4.594203948977273j)	(33.97848094592726+8.492919054900911j)	
(69.33612199261816-13.091212099245455j)	(74.44832957874544-31.50774522260909j)	(69.66541290280001-12.990677573445453j)	(54.53140674940908+2.5557194623100004j)	
(92.87427104605452-35.66612313011817j)	(113.39319818663634-55.258805708454545j)	(93.23009144176363-35.14272134952727j)	(67.05702833698183-21.121542497145455j)	
(56.14926112783635+1.8152808276081818j)	(67.12390483513637+11.183712092327273j)	(55.938798037418174+2.0335613163999997j)	(41.488269112363625-6.1750548102663645j)	
(33.303968256209096+22.821084629436367j)	(30.725114995809093+32.135987715300004j)	(33.18551080874545+22.754602432281814j)	(32.44447846844546+10.650435707781822j)	
(52.954086650490915+29.13549856706364j)	(40.53641891478181+42.08495608242728j)	(52.869114962481824+29.02222876119091j)	(61.98709834709092+9.59819533608091j)	
(62.940224387418176-6.414260734212726j)	(52.327427257190905+11.701969927045456j)	(62.80106388440908-6.456778786402725j)	(69.92680428246364-29.638341383481805j)	
(29.308257709818175-1.9714124094354544j)	(22.623653585263643+2.31269836426j)	(29.249463168054547-2.05596644228j)	(39.516242980963625-7.701153061604543j)	
(23.805719202172725+11.081785115318182j)	(17.898133711390905+10.311623399881817j)	(23.831158898090912+10.98334832621818j)	(32.7929247075909+15.160823648636363j)	
(48.53137692534546+3.0970535495090914j)	(40.072687322445454-2.9261500401945453j)	(48.718592210236366+2.9456260637836373j)	(58.63528927890909+16.811070528881814j)	
(55.77306920834546-39.57561215486364j)	(46.41125349564544-46.3817811446j)	(55.96112858170002-39.709694602281814j)	(68.07339269467272-24.663387992200008j)	
(37.90587303858181-24.424736196336365j)	(34.4024280201091-33.87771190292727j)	(38.07594125922728-24.425866560481815j)	(38.02260485565454-11.46044722469091j)	
(42.56275731868182+7.3657574220163635j)	(55.24046880545454-1.3530315269145456j)	(42.6014556885+7.505963975731818j)	(30.66698334430909+12.171397035799998j)	
(77.16568894816363+25.411562832899996j)	(103.74952281581818+31.523810646736365j)	(77.1009452126091+25.663155989209095j)	(55.353370666490896+18.64776646007272j)	
(95.55414165154546-27.502818367727276j)	(123.39862407309091-33.01008640636364j)	(95.60380346125457-27.147674907309092j)	(68.70186614990911-28.514066696154543j)	
(48.72775511309091-5.1089568138109085j)	(57.33667789804544+3.572890238328181j)	(48.57711861346365-4.965488390491818j)	(38.97254250264545-14.97841384197273j)	
(28.8151666468+19.92438021576364j)	(24.88111357256364+25.04491927403636j)	(28.719940012181812+19.837516264518182j)	(34.007630434918184+10.77544429081818j)	
(42.08637237544546+27.84768329964546j)	(34.01832719278182+30.818274411254546j)	(42.05964938073637+27.696027235563633j)	(56.30339917271817+20.96091773293637j)	
(52.68734325063637-8.44760478626909j)	(41.78840983995455-3.0626004609154545j)	(52.64597216523636-8.599363673821816j)	(70.23832078416362-19.478780399690912j)	
(29.59962307322727-13.697287732890912j)	(21.822316256427275-12.498066815472729j)	(29.59736199815455-13.804842168654545j)	(42.13902837576364-15.554050792327272j)	
(26.19277694010909+2.5563105019681824j)	(20.449307875236364-0.9762701608914547j)	(26.258607344172727+2.482158184055455j)	(33.35365607526362+10.19289502229091j)	
(51.30570845169091+5.812662298026364j)	(45.774707794181815-4.952896031469092j)	(51.480846405072704+5.728681130846364j)	(52.54840018531818+22.486323616763638j)	
(61.59611753980909-32.92305616900908j)	(55.2443806041091-45.33611783111818j)	(61.80426268141818-33.02721786496364j)	(63.81539154051819-13.004825938836358j)	
(44.741061817509085-29.109081441727273j)	(45.670649095045455-38.72335815431819j)	(44.90852078527273-29.06296573982727j)	(40.12794633342728-16.761589397063638j)	
(49.501489119136366+7.221388643435454j)	(61.48434170809093+7.435061584821817j)	(49.451621662490915+7.411799387498183j)	(36.00832054832727+6.842866117305454j)	
(67.26913660223634+31.935441624063635j)	(76.68493444267274+48.06076778068182j)	(67.00343392114544+32.03459965099999j)	(53.686670823509075+16.967233484463634j)	
(77.47551311145455+5.387656515293637j)	(87.04400912199092+25.177714607954545j)	(77.25134069266362+5.488099444997273j)	(62.34863697398182-11.746958732618179j)	
(47.45168616553637-0.2777010148224545j)	(47.80886424668183+11.410429781145456j)	(47.27526543358183-0.26645681262018184j)	(43.58758128773636-14.385009332163637j)	
(34.403193040299996+14.311827226154543j)	(28.939930308972727+19.637110970209086j)	(34.27913631095454+14.22350597379091j)	(42.1009133079+4.754768544979091j)	
(40.35508623987271+19.29001998900909j)	(32.502947027054546+21.094255794172728j)	(40.29481749097273+19.11226948822727j)	(54.94962033358183+15.56648956649091j)	
(42.696767980390916-1.0615417415436361j)	(35.268921592036364-0.5600623325863635j)	(42.65870701181817-1.2266852855654546j)	(57.40645183214546-2.026302380993636j)	
(34.1362217990091-10.877975203763638j)	(28.301627939436365-12.704909671436363j)	(34.159576762763635-11.020112904663637j)	(45.24014039473634-7.0272534977290935j)	
(39.13965086502727-10.012456113663635j)	(34.329091158790916-16.67747896366364j)	(39.28102840078182-10.090450286863636j)	(46.018529718590905+1.552308158441818j)	
(51.17203937876363-9.537833300499996j)	(50.57406581533637-20.766959450436367j)	(51.331749309172714-9.541244333441819j)	(50.37620336354545+6.006895628840001j)	
þetta er flottur texti
