#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(23.97992515565455+29.599027113472733j)	(9.474410230459998+85.97994162822725j)	(23.991851459854548+29.510441693390906j)	(66.9427337646+6.86553812027j)	
(19.73179799857272-1.9865762320445453j)	(22.847581863445455+44.254595323036355j)	(19.72548467463636-2.0433515418663633j)	(49.4512405396-24.450006484999996j)	
(10.219792105936364-2.484795678748181j)	(4.143768093803636+19.161259044327274j)	(10.2192067233-2.5354739752681814j)	(35.017364502-1.1932502985j)	
(18.601814096581816-0.7260388948701816j)	(5.320804162460909+16.45024681090909j)	(18.631827614518176-0.7742083885449997j)	(38.81538391110001+18.618278503400003j)	
(35.523344213281824-34.57859628853636j)	(14.163293144909089-4.159103306858181j)	(35.559765208845455-34.68907130851817j)	(67.72920365765454+4.536095315757271j)	
(20.315347498118186-66.16261152785454j)	(1.8639067194663639-30.946427258554547j)	(20.367247668227275-66.27839036418182j)	(55.233806956881814-30.120034998127274j)	
(45.70343086939089-46.22501962833635j)	(2.6841171438036358-31.897777037199997j)	(45.92982240156363-46.25621587577272j)	(35.44527157868181-5.024899049243636j)	
(91.65270371872725+25.080813147790902j)	(32.602229031654545-49.74323619493638j)	(91.55186184968179+25.305404316272732j)	(36.31636116721819+17.57615332174546j)	
(152.34006153490907+83.37035577950908j)	(63.48526313088181-158.02131791563642j)	(151.7739923648182+83.42962299694548j)	(69.73587244205456+10.14721610330909j)	
(116.70523279336369+30.47996226226363j)	(74.34700913861816-235.5421003858182j)	(116.327477889+30.587194269345453j)	(61.50495910643639-23.15987014773636j)	
(35.70964501116364+24.132954164027282j)	(110.64921916627269+93.77022136340909j)	(35.64485376531819+24.088266719500005j)	(38.324224298609074-5.905591921377273j)	
(16.761771635590904+26.409489544927272j)	(13.838618625272726+63.62922356346363j)	(16.77619136460909+26.365637519172726j)	(33.9701399369909+13.021070567054549j)	
(29.683357758999996+18.039298837854542j)	(11.683229793245454+57.62146724351819j)	(29.739424792172723+17.954197623536363j)	(58.21173754603635+9.757305752144545j)	
(33.88702115146363-12.142117760409091j)	(17.62315281955454+26.463132511472722j)	(33.93430709841818-12.247955582390905j)	(64.47175181994545-17.836626573072728j)	
(22.184462980818182-14.966438206763636j)	(8.383665778423637+7.04236394709j)	(22.208694111218183-15.012293815627276j)	(42.16859990903638-7.907369093459092j)	
(29.545491131854543-10.971638332681815j)	(6.7105798287799985+3.279575499621818j)	(29.63486983554546-11.000109152354543j)	(38.2472024397+8.368312142112725j)	
(56.109822013118176-29.954230395200007j)	(13.444212740136361-15.652936155109089j)	(56.273184342818176-29.92956074805454j)	(54.47812687263635+2.9115372354345452j)	
(79.98712574353634-49.18373870853636j)	(15.548604098227273-40.12828410754546j)	(80.32866113836367-49.08821279355454j)	(60.97042881356362-10.413910865790905j)	
(91.7605063698091+1.9255735223972732j)	(23.08532437413637-55.83598015527273j)	(91.65100305733638+2.307936885140909j)	(50.02473935215455+0.5407972010702726j)	
(62.89949313073638+35.79883991586363j)	(66.2522104437-82.61751625753637j)	(62.66748879174546+35.828663219063635j)	(45.07869547061818+7.839838331398183j)	
(53.20327585391817+27.42702969636364j)	(130.63215775963639-86.20398434724548j)	(53.019850297399984+27.425228465709086j)	(47.73509736491818-3.7825259512090916j)	
(39.880970694845466+21.2372923764j)	(169.91548711627277+31.104567787872725j)	(39.75775354556363+21.186224503927274j)	(50.76449030093636-5.413808649240908j)	
(26.676623777872734+19.409578149981822j)	(48.26140247694545+75.85792680219089j)	(26.62666754290909+19.313753301445455j)	(48.71137792413638+8.656277136369088j)	
(27.762418226809082+8.583206003366364j)	(27.949944929618184+50.64189147945455j)	(27.751706036618177+8.472724220969997j)	(52.579996282363645+7.787463058123637j)	
(23.10099549725455-15.09068688478182j)	(24.15721355783636+20.84397818824546j)	(23.07236862179091-15.20323172481818j)	(45.70358380406364-13.857508139181817j)	
(23.59255513276363-22.84604974223637j)	(15.204877159790911+8.492632085627276j)	(23.640171051045456-22.928188497327273j)	(42.67473602298184-9.75322723389j)	
