#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11m	S11o	S11l	S11s
(16008000000+0j)	(41.17298230261819+14.100947206627268j)	(41.17298230261819+14.100947206627268j)	(41.17298230261819+14.100947206627268j)	(41.17298230261819+14.100947206627268j)	
(16057900000+0j)	(50.67254950781817+17.926928780300006j)	(50.67254950781817+17.926928780300006j)	(50.67254950781817+17.926928780300006j)	(50.67254950781817+17.926928780300006j)	
(16107800000+0j)	(52.753490794818184-16.81564105643636j)	(52.753490794818184-16.81564105643636j)	(52.753490794818184-16.81564105643636j)	(52.753490794818184-16.81564105643636j)	
(16157700000+0j)	(43.99751628524545-13.310961463254547j)	(43.99751628524545-13.310961463254547j)	(43.99751628524545-13.310961463254547j)	(43.99751628524545-13.310961463254547j)	
(16207600000+0j)	(43.46435754949093+18.195996891372726j)	(43.46435754949093+18.195996891372726j)	(43.46435754949093+18.195996891372726j)	(43.46435754949093+18.195996891372726j)	
(16257500000+0j)	(52.98320319433637+16.64973657782727j)	(52.98320319433637+16.64973657782727j)	(52.98320319433637+16.64973657782727j)	(52.98320319433637+16.64973657782727j)	
(16307400000+0j)	(45.29498082941817-20.592554785972727j)	(45.29498082941817-20.592554785972727j)	(45.29498082941817-20.592554785972727j)	(45.29498082941817-20.592554785972727j)	
(16357300000+0j)	(38.052711139981824-12.094717632672724j)	(38.052711139981824-12.094717632672724j)	(38.052711139981824-12.094717632672724j)	(38.052711139981824-12.094717632672724j)	
(16407200000+0j)	(46.70422016490909+21.753257578100005j)	(46.70422016490909+21.753257578100005j)	(46.70422016490909+21.753257578100005j)	(46.70422016490909+21.753257578100005j)	
(16457100000+0j)	(68.3428178266727+18.373414819918178j)	(68.3428178266727+18.373414819918178j)	(68.3428178266727+18.373414819918178j)	(68.3428178266727+18.373414819918178j)	
(16507000000+0j)	(40.70642991495455-25.01663814890909j)	(40.70642991495455-25.01663814890909j)	(40.70642991495455-25.01663814890909j)	(40.70642991495455-25.01663814890909j)	
(16556900000+0j)	(32.13595719769091-8.547342213716364j)	(32.13595719769091-8.547342213716364j)	(32.13595719769091-8.547342213716364j)	(32.13595719769091-8.547342213716364j)	
(16606800000+0j)	(48.79750546539091+30.377959858309087j)	(48.79750546539091+30.377959858309087j)	(48.79750546539091+30.377959858309087j)	(48.79750546539091+30.377959858309087j)	
(16656700000+0j)	(76.1552914706+25.03827320444545j)	(76.1552914706+25.03827320444545j)	(76.1552914706+25.03827320444545j)	(76.1552914706+25.03827320444545j)	
(16706600000+0j)	(38.53825933280909-24.801687760763645j)	(38.53825933280909-24.801687760763645j)	(38.53825933280909-24.801687760763645j)	(38.53825933280909-24.801687760763645j)	
(16756500000+0j)	(25.45492675086364-8.400018085130911j)	(25.45492675086364-8.400018085130911j)	(25.45492675086364-8.400018085130911j)	(25.45492675086364-8.400018085130911j)	
(16806400000+0j)	(41.690505634672725+29.10946013713637j)	(41.690505634672725+29.10946013713637j)	(41.690505634672725+29.10946013713637j)	(41.690505634672725+29.10946013713637j)	
(16856300000+0j)	(86.3674364956727+32.039602106227264j)	(86.3674364956727+32.039602106227264j)	(86.3674364956727+32.039602106227264j)	(86.3674364956727+32.039602106227264j)	
(16906200000+0j)	(39.809612967781824-29.443017786209097j)	(39.809612967781824-29.443017786209097j)	(39.809612967781824-29.443017786209097j)	(39.809612967781824-29.443017786209097j)	
(16956100000+0j)	(22.565929586245453-11.902364210636362j)	(22.565929586245453-11.902364210636362j)	(22.565929586245453-11.902364210636362j)	(22.565929586245453-11.902364210636362j)	
(17006000000+0j)	(39.76681761307273+28.138123078790915j)	(39.76681761307273+28.138123078790915j)	(39.76681761307273+28.138123078790915j)	(39.76681761307273+28.138123078790915j)	
(17055900000+0j)	(95.24018027563635+45.673492084836354j)	(95.24018027563635+45.673492084836354j)	(95.24018027563635+45.673492084836354j)	(95.24018027563635+45.673492084836354j)	
(17105800000+0j)	(46.72555472632727-27.233758232827274j)	(46.72555472632727-27.233758232827274j)	(46.72555472632727-27.233758232827274j)	(46.72555472632727-27.233758232827274j)	
(17155700000+0j)	(24.31786433133637-13.639571623409092j)	(24.31786433133637-13.639571623409092j)	(24.31786433133637-13.639571623409092j)	(24.31786433133637-13.639571623409092j)	
(17205600000+0j)	(34.887052362581805+19.440147746681824j)	(34.887052362581805+19.440147746681824j)	(34.887052362581805+19.440147746681824j)	(34.887052362581805+19.440147746681824j)	
(17255500000+0j)	(67.54723913018182+54.84231775456364j)	(67.54723913018182+54.84231775456364j)	(67.54723913018182+54.84231775456364j)	(67.54723913018182+54.84231775456364j)	
(17305400000+0j)	(55.55256652833638-28.46344705060909j)	(55.55256652833638-28.46344705060909j)	(55.55256652833638-28.46344705060909j)	(55.55256652833638-28.46344705060909j)	
(17355300000+0j)	(21.951564268645452-15.76076663624545j)	(21.951564268645452-15.76076663624545j)	(21.951564268645452-15.76076663624545j)	(21.951564268645452-15.76076663624545j)	
(17405200000+0j)	(34.251412131590925+12.30124646968182j)	(34.251412131590925+12.30124646968182j)	(34.251412131590925+12.30124646968182j)	(34.251412131590925+12.30124646968182j)	
(17455100000+0j)	(69.57269841977273+50.81450028852728j)	(69.57269841977273+50.81450028852728j)	(69.57269841977273+50.81450028852728j)	(69.57269841977273+50.81450028852728j)	
(17505000000+0j)	(63.73114048352729-22.324332150509086j)	(63.73114048352729-22.324332150509086j)	(63.73114048352729-22.324332150509086j)	(63.73114048352729-22.324332150509086j)	
(17554900000+0j)	(25.83048213616364-17.43794718659091j)	(25.83048213616364-17.43794718659091j)	(25.83048213616364-17.43794718659091j)	(25.83048213616364-17.43794718659091j)	
(17604800000+0j)	(38.797048048545456+6.57958646253818j)	(38.797048048545456+6.57958646253818j)	(38.797048048545456+6.57958646253818j)	(38.797048048545456+6.57958646253818j)	
(17654700000+0j)	(66.83566700332726+42.56511064009092j)	(66.83566700332726+42.56511064009092j)	(66.83566700332726+42.56511064009092j)	(66.83566700332726+42.56511064009092j)	
(17704600000+0j)	(67.18789534133637-3.8373772231j)	(67.18789534133637-3.8373772231j)	(67.18789534133637-3.8373772231j)	(67.18789534133637-3.8373772231j)	
(17754500000+0j)	(29.165374235672722-13.347049626436363j)	(29.165374235672722-13.347049626436363j)	(29.165374235672722-13.347049626436363j)	(29.165374235672722-13.347049626436363j)	
(17804400000+0j)	(39.668141451736375+2.3609694567590904j)	(39.668141451736375+2.3609694567590904j)	(39.668141451736375+2.3609694567590904j)	(39.668141451736375+2.3609694567590904j)	
(17854300000+0j)	(64.64497791635455+24.4715782512j)	(64.64497791635455+24.4715782512j)	(64.64497791635455+24.4715782512j)	(64.64497791635455+24.4715782512j)	
(17904200000+0j)	(57.06120369654547-0.3082725514067272j)	(57.06120369654547-0.3082725514067272j)	(57.06120369654547-0.3082725514067272j)	(57.06120369654547-0.3082725514067272j)	
(17954100000+0j)	(33.36082423816363-9.726022893733637j)	(33.36082423816363-9.726022893733637j)	(33.36082423816363-9.726022893733637j)	(33.36082423816363-9.726022893733637j)	
(18004000000+0j)	(45.37724477596363-2.6592945619090913j)	(45.37724477596363-2.6592945619090913j)	(45.37724477596363-2.6592945619090913j)	(45.37724477596363-2.6592945619090913j)	
(18053900000+0j)	(70.52141154892728+5.3462061448527285j)	(70.52141154892728+5.3462061448527285j)	(70.52141154892728+5.3462061448527285j)	(70.52141154892728+5.3462061448527285j)	
(18103800000+0j)	(52.995776089727286+0.7834570245308182j)	(52.995776089727286+0.7834570245308182j)	(52.995776089727286+0.7834570245308182j)	(52.995776089727286+0.7834570245308182j)	
(18153700000+0j)	(37.97307933458183+0.2981213656338181j)	(37.97307933458183+0.2981213656338181j)	(37.97307933458183+0.2981213656338181j)	(37.97307933458183+0.2981213656338181j)	
(18203600000+0j)	(51.659497694490916+0.4000680798837273j)	(51.659497694490916+0.4000680798837273j)	(51.659497694490916+0.4000680798837273j)	(51.659497694490916+0.4000680798837273j)	
(18253500000+0j)	(71.69711789216362-5.3701657815409085j)	(71.69711789216362-5.3701657815409085j)	(71.69711789216362-5.3701657815409085j)	(71.69711789216362-5.3701657815409085j)	
(18303400000+0j)	(43.98477762398183+0.8134697513149998j)	(43.98477762398183+0.8134697513149998j)	(43.98477762398183+0.8134697513149998j)	(43.98477762398183+0.8134697513149998j)	
(18353300000+0j)	(33.76930583607273+8.177004033871816j)	(33.76930583607273+8.177004033871816j)	(33.76930583607273+8.177004033871816j)	(33.76930583607273+8.177004033871816j)	
(18403200000+0j)	(54.9431936090909+2.0577726147372717j)	(54.9431936090909+2.0577726147372717j)	(54.9431936090909+2.0577726147372717j)	(54.9431936090909+2.0577726147372717j)	
(18453100000+0j)	(67.60166792440909-20.971641887318185j)	(67.60166792440909-20.971641887318185j)	(67.60166792440909-20.971641887318185j)	(67.60166792440909-20.971641887318185j)	
(18503000000+0j)	(41.27953338621817-5.79403881593j)	(41.27953338621817-5.79403881593j)	(41.27953338621817-5.79403881593j)	(41.27953338621817-5.79403881593j)	
(18552900000+0j)	(32.34519646385455+10.41178946062727j)	(32.34519646385455+10.41178946062727j)	(32.34519646385455+10.41178946062727j)	(32.34519646385455+10.41178946062727j)	
(18602800000+0j)	(62.46062954992726+9.104487159032729j)	(62.46062954992726+9.104487159032729j)	(62.46062954992726+9.104487159032729j)	(62.46062954992726+9.104487159032729j)	
(18652700000+0j)	(70.54036365854546-29.61169971117273j)	(70.54036365854546-29.61169971117273j)	(70.54036365854546-29.61169971117273j)	(70.54036365854546-29.61169971117273j)	
(18702600000+0j)	(39.42613532322728-7.275767499752729j)	(39.42613532322728-7.275767499752729j)	(39.42613532322728-7.275767499752729j)	(39.42613532322728-7.275767499752729j)	
(18752500000+0j)	(32.612145510609096+15.09125527470909j)	(32.612145510609096+15.09125527470909j)	(32.612145510609096+15.09125527470909j)	(32.612145510609096+15.09125527470909j)	
(18802400000+0j)	(58.80665935166364+16.33005194229091j)	(58.80665935166364+16.33005194229091j)	(58.80665935166364+16.33005194229091j)	(58.80665935166364+16.33005194229091j)	
(18852300000+0j)	(68.31088950416361-24.73820894415455j)	(68.31088950416361-24.73820894415455j)	(68.31088950416361-24.73820894415455j)	(68.31088950416361-24.73820894415455j)	
(18902200000+0j)	(37.96178852429089-11.1494891427j)	(37.96178852429089-11.1494891427j)	(37.96178852429089-11.1494891427j)	(37.96178852429089-11.1494891427j)	
(18952100000+0j)	(30.513679504409094+12.097947900936365j)	(30.513679504409094+12.097947900936365j)	(30.513679504409094+12.097947900936365j)	(30.513679504409094+12.097947900936365j)	
(19002000000+0j)	(55.5537157925909+18.206544529318183j)	(55.5537157925909+18.206544529318183j)	(55.5537157925909+18.206544529318183j)	(55.5537157925909+18.206544529318183j)	
(19051900000+0j)	(68.99785960804547-28.887996500163634j)	(68.99785960804547-28.887996500163634j)	(68.99785960804547-28.887996500163634j)	(68.99785960804547-28.887996500163634j)	
(19101800000+0j)	(39.06770116634546-14.78328297354546j)	(39.06770116634546-14.78328297354546j)	(39.06770116634546-14.78328297354546j)	(39.06770116634546-14.78328297354546j)	
(19151700000+0j)	(33.896095969490915+10.881923675518186j)	(33.896095969490915+10.881923675518186j)	(33.896095969490915+10.881923675518186j)	(33.896095969490915+10.881923675518186j)	
(19201600000+0j)	(56.3897857665909+20.729787653145458j)	(56.3897857665909+20.729787653145458j)	(56.3897857665909+20.729787653145458j)	(56.3897857665909+20.729787653145458j)	
(19251500000+0j)	(70.38931759922725-19.754077044390904j)	(70.38931759922725-19.754077044390904j)	(70.38931759922725-19.754077044390904j)	(70.38931759922725-19.754077044390904j)	
(19301400000+0j)	(42.26711585303636-15.299116914899997j)	(42.26711585303636-15.299116914899997j)	(42.26711585303636-15.299116914899997j)	(42.26711585303636-15.299116914899997j)	
(19351300000+0j)	(33.20503130825455+10.312085498472726j)	(33.20503130825455+10.312085498472726j)	(33.20503130825455+10.312085498472726j)	(33.20503130825455+10.312085498472726j)	
(19401200000+0j)	(52.42923736572729+22.303185549627266j)	(52.42923736572729+22.303185549627266j)	(52.42923736572729+22.303185549627266j)	(52.42923736572729+22.303185549627266j)	
(19451100000+0j)	(63.70223236087271-13.376822991763635j)	(63.70223236087271-13.376822991763635j)	(63.70223236087271-13.376822991763635j)	(63.70223236087271-13.376822991763635j)	
(19501000000+0j)	(40.24373383953637-16.751829147354545j)	(40.24373383953637-16.751829147354545j)	(40.24373383953637-16.751829147354545j)	(40.24373383953637-16.751829147354545j)	
(19550900000+0j)	(35.99685564908183+6.955708156935457j)	(35.99685564908183+6.955708156935457j)	(35.99685564908183+6.955708156935457j)	(35.99685564908183+6.955708156935457j)	
(19600800000+0j)	(53.63552370934544+16.81119936164545j)	(53.63552370934544+16.81119936164545j)	(53.63552370934544+16.81119936164545j)	(53.63552370934544+16.81119936164545j)	
(19650700000+0j)	(62.31089886752729-12.014391205518182j)	(62.31089886752729-12.014391205518182j)	(62.31089886752729-12.014391205518182j)	(62.31089886752729-12.014391205518182j)	
(19700600000+0j)	(43.78599409626363-14.41160886938182j)	(43.78599409626363-14.41160886938182j)	(43.78599409626363-14.41160886938182j)	(43.78599409626363-14.41160886938182j)	
(19750500000+0j)	(42.179532137745454+4.949501080943636j)	(42.179532137745454+4.949501080943636j)	(42.179532137745454+4.949501080943636j)	(42.179532137745454+4.949501080943636j)	
(19800400000+0j)	(54.76290997589091+15.674378915281816j)	(54.76290997589091+15.674378915281816j)	(54.76290997589091+15.674378915281816j)	(54.76290997589091+15.674378915281816j)	
(19850300000+0j)	(57.207720669800004-2.0847431746354546j)	(57.207720669800004-2.0847431746354546j)	(57.207720669800004-2.0847431746354546j)	(57.207720669800004-2.0847431746354546j)	
(19900200000+0j)	(45.238363092572726-7.125868320465455j)	(45.238363092572726-7.125868320465455j)	(45.238363092572726-7.125868320465455j)	(45.238363092572726-7.125868320465455j)	
(19950100000+0j)	(46.12182651864544+1.652254722336363j)	(46.12182651864544+1.652254722336363j)	(46.12182651864544+1.652254722336363j)	(46.12182651864544+1.652254722336363j)	
(20000000000+0j)	(50.262436259872715+6.069476691157272j)	(50.262436259872715+6.069476691157272j)	(50.262436259872715+6.069476691157272j)	(50.262436259872715+6.069476691157272j)	
